Institution,OpenAIRE_Org_ID,DataSource_ID,DataSource_Name,DataSource_Compatibility,DataSource_LastValidated,DataSource_URL,Num_Research_Products_Org,Num_Research_Products_DS,Num_Research_Products_DS_Org,Num_Missing_DS,Num_Missing_Org,Retrieved_On
Leiden University,openorgs____::e42580548da4a1d39bb67b60b971056e,eurocrisdris::d4821dfb348f8f7133647376749dfe87,LUCRIS,Not yet registered,,https://www.universiteitleiden.nl/en/humanities/graduate-school/lucris---converis-gsm,201841,0,0,0,201841,2025-01-27 15:16:27.749290
Leiden University,openorgs____::e42580548da4a1d39bb67b60b971056e,re3data_____::2559b4dd27ae4bc6c7f3727ec863444f,DataverseNL,"OpenAIRE Data (funded, referenced datasets)",,https://dataverse.nl/,201841,7324,0,7324,201841,2025-01-27 15:16:27.749290
Leiden University,openorgs____::e42580548da4a1d39bb67b60b971056e,opendoar____::854d6fae5ee42911677c739ee1734486,Leiden University Scholarly Publications Repository,OpenAIRE 4.0 (inst.&thematic. repo.),,https://scholarlypublications.universiteitleiden.nl/,201841,123658,123658,0,78183,2025-01-27 15:16:27.749290
Leiden University,openorgs____::e42580548da4a1d39bb67b60b971056e,fairsharing_::a1d7311f2a312426d710e1c617fcbc8c,PseudoBase,Not yet registered,,http://www.ekevanbatenburg.nl/pb,201841,0,0,0,201841,2025-01-27 15:16:27.749290
Vrije Universiteit (Free University),openorgs____::1624ff7c01bb641b91f4518539a0c28a,fairsharing_::c9efe5f26cd17ba6216bbe2a7d26d490,Kinase-Ligand Interaction Fingerprints and Structures database,Not yet registered,,https://klifs.net,501859,0,0,0,501859,2025-01-27 15:16:27.749290
Vrije Universiteit (Free University),openorgs____::1624ff7c01bb641b91f4518539a0c28a,re3data_____::39dec5b7d86450d6a895b6575ed0f2f2,OSF - Vrije Universiteit Amsterdam,Not yet registered,,https://osf.vu.nl/,501859,0,0,0,501859,2025-01-27 15:16:27.749290
Vrije Universiteit (Free University),openorgs____::1624ff7c01bb641b91f4518539a0c28a,re3data_____::2559b4dd27ae4bc6c7f3727ec863444f,DataverseNL,"OpenAIRE Data (funded, referenced datasets)",,https://dataverse.nl/,501859,7324,258,7066,501601,2025-01-27 15:16:27.749290
Vrije Universiteit (Free University),openorgs____::1624ff7c01bb641b91f4518539a0c28a,eurocrisdris::1d6d17347c8e4a306c1173fd700c2f45,Vrije Universiteit Amsterdam (VU Amsterdam) – Research Portal,OpenAIRE CRIS v1.1,,https://research.vu.nl/,501859,0,0,0,501859,2025-01-27 15:16:27.749290
Vrije Universiteit (Free University),openorgs____::1624ff7c01bb641b91f4518539a0c28a,openaire____::40927ac4541f9b6b0278123d50793789,ERLACS – European Review of Latin American and Caribbean Studies,OpenAIRE Basic (DRIVER OA),,https://www.erlacs.org/,501859,0,0,0,501859,2025-01-27 15:16:27.749290
Vrije Universiteit (Free University),openorgs____::1624ff7c01bb641b91f4518539a0c28a,opendoar____::000871c1fc726f0b52dc86a4eeb027de,Vrije Universiteit Amsterdam (VU Amsterdam) - Institutional Repository,OpenAIRE CRIS v1.1,,https://research.vu.nl/,501859,293429,293429,0,208430,2025-01-27 15:16:27.749290
