full_name_in_English,acronym_EN,acronym_AGG,main_grouping,ROR,ROR_LINK,OpenAlex_ID,OpenAlex_LINK,OpenAIRE_ID,OpenAIRE_LINK,OpenAIRE_Org_ID,OpenAIRE_Org_ID_Explore_URL,numFound_ResearchProducts_OpenOrgs,numFound_ResearchProducts_2021_2024,numFound_ResearchProducts_2020_2023
Utrecht University,UU,UU/UMCU,UNL,04pp8hn57,https://ror.org/04pp8hn57,I193662353,https://openalex.org/I193662353,openorgs____::3d57a5aadd2e0925bca78515278f2405,https://explore.openaire.eu/search/organization?organizationId=openorgs____::3d57a5aadd2e0925bca78515278f2405,openorgs____::3d57a5aadd2e0925bca78515278f2405,https://explore.openaire.eu/search/organization?organizationId=openorgs____::3d57a5aadd2e0925bca78515278f2405,377986.0,68465.0,68465.0
University of Amsterdam,UVA,UVA/AMC,UNL,04dkp9463,https://ror.org/04dkp9463,I887064364,https://openalex.org/I887064364,openorgs____::58f65ed1ce3c9166e9c5f939bfdbf83a,https://explore.openaire.eu/search/organization?organizationId=openorgs____::58f65ed1ce3c9166e9c5f939bfdbf83a,openorgs____::58f65ed1ce3c9166e9c5f939bfdbf83a,https://explore.openaire.eu/search/organization?organizationId=openorgs____::58f65ed1ce3c9166e9c5f939bfdbf83a,358787.0,60257.0,60257.0
University of Groningen,RUG,RUG/UMCG,UNL,012p63287,https://ror.org/012p63287,I169381384,https://openalex.org/I169381384,openorgs____::81371ea94b1a09d3243e73d6ec3527ec,https://explore.openaire.eu/search/organization?organizationId=openorgs____::81371ea94b1a09d3243e73d6ec3527ec,openorgs____::81371ea94b1a09d3243e73d6ec3527ec,https://explore.openaire.eu/search/organization?organizationId=openorgs____::81371ea94b1a09d3243e73d6ec3527ec,323047.0,56275.0,56275.0
Leiden University,UL,UL/LUMC,UNL,027bh9e22,https://ror.org/027bh9e22,I121797337,https://openalex.org/I121797337,openorgs____::e42580548da4a1d39bb67b60b971056e,https://explore.openaire.eu/search/organization?organizationId=openorgs____::e42580548da4a1d39bb67b60b971056e,openorgs____::e42580548da4a1d39bb67b60b971056e,https://explore.openaire.eu/search/organization?organizationId=openorgs____::e42580548da4a1d39bb67b60b971056e,218436.0,47078.0,47078.0
Radboud University Nijmegen,RU,RU/RadboudUMC,UNL,016xsfp80,https://ror.org/016xsfp80,I145872427,https://openalex.org/I145872427,openorgs____::a3af79fec4d09764e56cd6d4df1d976a,https://explore.openaire.eu/search/organization?organizationId=openorgs____::a3af79fec4d09764e56cd6d4df1d976a,openorgs____::a3af79fec4d09764e56cd6d4df1d976a,https://explore.openaire.eu/search/organization?organizationId=openorgs____::a3af79fec4d09764e56cd6d4df1d976a,276759.0,45349.0,45349.0
Vrije Universiteit (Free University),VU,VU/VUMC,UNL,008xxew50,https://ror.org/008xxew50,I865915315,https://openalex.org/I865915315,openorgs____::1624ff7c01bb641b91f4518539a0c28a,https://explore.openaire.eu/search/organization?organizationId=openorgs____::1624ff7c01bb641b91f4518539a0c28a,openorgs____::1624ff7c01bb641b91f4518539a0c28a,https://explore.openaire.eu/search/organization?organizationId=openorgs____::1624ff7c01bb641b91f4518539a0c28a,257749.0,44206.0,44206.0
Delft University of Technology,TUD,TUD,UNL,02e2c7k09,https://ror.org/02e2c7k09,I98358874,https://openalex.org/I98358874,openorgs____::5e6bf8962665cdd040341171e5c631d8,https://explore.openaire.eu/search/organization?organizationId=openorgs____::5e6bf8962665cdd040341171e5c631d8,openorgs____::5e6bf8962665cdd040341171e5c631d8,https://explore.openaire.eu/search/organization?organizationId=openorgs____::5e6bf8962665cdd040341171e5c631d8,229813.0,42961.0,42961.0
Maastricht University,UNIMAAS,UM/MaastrichtMC,UNL,02jz4aj89,https://ror.org/02jz4aj89,I34352273,https://openalex.org/I34352273,openorgs____::a7e0018f6064f0dab7a8c9a48a61a1c6,https://explore.openaire.eu/search/organization?organizationId=openorgs____::a7e0018f6064f0dab7a8c9a48a61a1c6,openorgs____::a7e0018f6064f0dab7a8c9a48a61a1c6,https://explore.openaire.eu/search/organization?organizationId=openorgs____::a7e0018f6064f0dab7a8c9a48a61a1c6,160994.0,41494.0,41494.0
Erasmus University Rotterdam,EUR,EUR/ErasmusMC,UNL,057w15z03,https://ror.org/057w15z03,I913958620,https://openalex.org/I913958620,openorgs____::2f735203eb40d8389a881e874bee537a,https://explore.openaire.eu/search/organization?organizationId=openorgs____::2f735203eb40d8389a881e874bee537a,openorgs____::2f735203eb40d8389a881e874bee537a,https://explore.openaire.eu/search/organization?organizationId=openorgs____::2f735203eb40d8389a881e874bee537a,246426.0,39430.0,39430.0
Wageningen University & Research,WUR,WUR,UNL,04qw24q55,https://ror.org/04qw24q55,I913481162,https://openalex.org/I913481162,openorgs____::ad8f981707a4a1d6c9e9ee60c02b9a11,https://explore.openaire.eu/search/organization?organizationId=openorgs____::ad8f981707a4a1d6c9e9ee60c02b9a11,openorgs____::ad8f981707a4a1d6c9e9ee60c02b9a11,https://explore.openaire.eu/search/organization?organizationId=openorgs____::ad8f981707a4a1d6c9e9ee60c02b9a11,284785.0,35678.0,35678.0
UMCU,UMCU,UU/UMCU,NFU,0575yy874,https://ror.org/0575yy874,I3018483916,https://openalex.org/I3018483916,openorgs____::81b64115eb383a27a9c1820a2c760c89,https://explore.openaire.eu/search/organization?organizationId=openorgs____::81b64115eb383a27a9c1820a2c760c89,openorgs____::81b64115eb383a27a9c1820a2c760c89,https://explore.openaire.eu/search/organization?organizationId=openorgs____::81b64115eb383a27a9c1820a2c760c89,88928.0,25574.0,25574.0
Radboud University Nijmegen Medical Centre,RadboudUMC,RU/RadboudUMC,NFU,05wg1m734,https://ror.org/05wg1m734,I2802934949,https://openalex.org/I2802934949,openorgs____::6c50ead5f8f9cac29c4c3066df9fba45,https://explore.openaire.eu/search/organization?organizationId=openorgs____::6c50ead5f8f9cac29c4c3066df9fba45,openorgs____::6c50ead5f8f9cac29c4c3066df9fba45,https://explore.openaire.eu/search/organization?organizationId=openorgs____::6c50ead5f8f9cac29c4c3066df9fba45,82328.0,24849.0,24849.0
LUMC,LUMC,UL/LUMC,NFU,05xvt9f17,https://ror.org/05xvt9f17,I2800006345,https://openalex.org/I2800006345,openorgs____::2eeca4f78f2a04a35057c1fa7918e23b,https://explore.openaire.eu/search/organization?organizationId=20|openorgs____::2eeca4f78f2a04a35057c1fa7918e23b,openorgs____::2eeca4f78f2a04a35057c1fa7918e23b,https://explore.openaire.eu/search/organization?organizationId=openorgs____::2eeca4f78f2a04a35057c1fa7918e23b,90555.0,24045.0,24045.0
University of Twente,UVT,UVT,UNL,006hf6230,https://ror.org/006hf6230,I94624287,https://openalex.org/I94624287,openorgs____::604881198363fedbb5d5478f465305f2,https://explore.openaire.eu/search/organization?organizationId=openorgs____::604881198363fedbb5d5478f465305f2,openorgs____::604881198363fedbb5d5478f465305f2,https://explore.openaire.eu/search/organization?organizationId=openorgs____::604881198363fedbb5d5478f465305f2,157571.0,23209.0,23209.0
VUMC,VUMC,VU/VUMC,NFU,00q6h8f30,https://ror.org/00q6h8f30,I911458345,https://openalex.org/I911458345,openorgs____::df96ffc1951dc9bc14b0695e3297f6e1,https://explore.openaire.eu/search/organization?organizationId=openorgs____::df96ffc1951dc9bc14b0695e3297f6e1,openorgs____::df96ffc1951dc9bc14b0695e3297f6e1,https://explore.openaire.eu/search/organization?organizationId=openorgs____::df96ffc1951dc9bc14b0695e3297f6e1,91343.0,22307.0,22307.0
ErasmusMC,ErasmusMC,EUR/ErasmusMC,NFU,018906e22,https://ror.org/018906e22,I2801952686,https://openalex.org/I2801952686,openorgs____::51609e11886740e4cf5f77d0f516a43c,https://explore.openaire.eu/search/organization?organizationId=openorgs____::51609e11886740e4cf5f77d0f516a43c,openorgs____::46893b4080f9a8d38c83cd5bbdd68d52,https://explore.openaire.eu/search/organization?organizationId=openorgs____::46893b4080f9a8d38c83cd5bbdd68d52,72169.0,21732.0,21732.0
Eindhoven University of Technology,TUE,TUE,UNL,02c2kyt77,https://ror.org/02c2kyt77,I83019370,https://openalex.org/I83019370,openorgs____::db787c50cf46f2b08e69f830e292e42d,https://explore.openaire.eu/search/organization?organizationId=openorgs____::db787c50cf46f2b08e69f830e292e42d,openorgs____::db787c50cf46f2b08e69f830e292e42d,https://explore.openaire.eu/search/organization?organizationId=openorgs____::db787c50cf46f2b08e69f830e292e42d,76551.0,17134.0,17134.0
Tilburg University,TiU,TiU,UNL,04b8v1s79,https://ror.org/04b8v1s79,I193700539,https://openalex.org/I193700539,openorgs____::b12b585c23a2b443b35cb33f57309a34,https://explore.openaire.eu/search/organization?organizationId=openorgs____::b12b585c23a2b443b35cb33f57309a34,openorgs____::b12b585c23a2b443b35cb33f57309a34,https://explore.openaire.eu/search/organization?organizationId=openorgs____::b12b585c23a2b443b35cb33f57309a34,107746.0,14474.0,14474.0
Amsterdam UMC,AUMC,AUMC,NFU,05grdyy37,https://ror.org/05grdyy37,I4210151833,https://openalex.org/I4210151833,openorgs____::2ce10b2528220091bd0363c1e39394c1,https://explore.openaire.eu/search/organization?organizationId=openorgs____::2ce10b2528220091bd0363c1e39394c1,openorgs____::2ce10b2528220091bd0363c1e39394c1,https://explore.openaire.eu/search/organization?organizationId=openorgs____::2ce10b2528220091bd0363c1e39394c1,20886.0,13933.0,13933.0
MaastrichtMC,MaastrichtMC,UM/MaastrichtMC,NFU,02d9ce178,https://ror.org/02d9ce178,I2800191616,https://openalex.org/I2800191616,openorgs____::3c2c37b7745ae3202347c3fa594bc66a,https://explore.openaire.eu/search/organization?organizationId=openorgs____::3c2c37b7745ae3202347c3fa594bc66a,openorgs____::3c2c37b7745ae3202347c3fa594bc66a,https://explore.openaire.eu/search/organization?organizationId=openorgs____::3c2c37b7745ae3202347c3fa594bc66a,36137.0,11817.0,11817.0
Amsterdam Medical Centre,AMC,UVA/AMC,NFU,03t4gr691,https://ror.org/03t4gr691,I2802928900,https://openalex.org/I2802928900,openorgs____::fe49cd5c84da7a89da723e24cadeb99d,https://explore.openaire.eu/search/organization?organizationId=openorgs____::fe49cd5c84da7a89da723e24cadeb99d,openorgs____::01717f42bf8b3d8e3acf57fbb09ba6ac,https://explore.openaire.eu/search/organization?organizationId=openorgs____::01717f42bf8b3d8e3acf57fbb09ba6ac,12377.0,6109.0,6109.0
Open University,OU,OU,UNL,018dfmf50,https://ror.org/018dfmf50,I7876267,https://openalex.org/I7876267,openorgs____::54f2e88f3eb801dc7e49a4ca90fdd1b6,https://explore.openaire.eu/search/organization?organizationId=openorgs____::54f2e88f3eb801dc7e49a4ca90fdd1b6,openorgs____::54f2e88f3eb801dc7e49a4ca90fdd1b6,https://explore.openaire.eu/search/organization?organizationId=openorgs____::54f2e88f3eb801dc7e49a4ca90fdd1b6,17258.0,5445.0,5445.0
Amsterdam University of Applied Sciences,HVA,HVA,VH,00y2z2s03,https://ror.org/00y2z2s03,I55106644,https://openalex.org/I55106644,openorgs____::d0a66a264d47d18baba1821d678627f3,https://explore.openaire.eu/search/organization?organizationId=openorgs____::d0a66a264d47d18baba1821d678627f3,openorgs____::d0a66a264d47d18baba1821d678627f3,https://explore.openaire.eu/search/organization?organizationId=openorgs____::d0a66a264d47d18baba1821d678627f3,7768.0,2851.0,2851.0
"NIOZ, Royal Netherlands Institute for Sea Research",NIOZ,NIOZ,NWO-i,01gntjh03,https://ror.org/01gntjh03,I4210107283,https://openalex.org/I4210107283,openorgs____::eb2f1247784acef155801d95b5ac937b,https://explore.openaire.eu/search/organization?organizationId=openorgs____::eb2f1247784acef155801d95b5ac937b,openorgs____::eb2f1247784acef155801d95b5ac937b,https://explore.openaire.eu/search/organization?organizationId=openorgs____::eb2f1247784acef155801d95b5ac937b,10564.0,2648.0,2648.0
