full_name_in_English,acronym_EN,acronym_AGG,main_grouping,ROR,ROR_LINK,OpenAIRE_Org_ID,OpenAIRE_Org_ID_Explore_URL,numFound_ResearchProducts_OpenOrgs,numFound_ResearchProducts_2021_2024,Category,annual OpenAIRE membership costs,portal_costs,total_costs,costs_greater_than_2000
Utrecht University,UU,UU/UMCU,UNL,04pp8hn57,https://ror.org/04pp8hn57,openorgs____::3d57a5aadd2e0925bca78515278f2405,https://explore.openaire.eu/search/organization?organizationId=openorgs____::3d57a5aadd2e0925bca78515278f2405,378710.0,65528.0,1.0,1302.0,1236.9230769230771,2538.923076923077,True
University of Amsterdam,UVA,UVA/AMC,UNL,04dkp9463,https://ror.org/04dkp9463,openorgs____::58f65ed1ce3c9166e9c5f939bfdbf83a,https://explore.openaire.eu/search/organization?organizationId=openorgs____::58f65ed1ce3c9166e9c5f939bfdbf83a,358821.0,57411.0,1.0,1302.0,1236.9230769230771,2538.923076923077,True
University of Groningen,RUG,RUG/UMCG,UNL,012p63287,https://ror.org/012p63287,openorgs____::81371ea94b1a09d3243e73d6ec3527ec,https://explore.openaire.eu/search/organization?organizationId=openorgs____::81371ea94b1a09d3243e73d6ec3527ec,323090.0,56132.0,1.0,1302.0,1236.9230769230771,2538.923076923077,True
Leiden University,UL,UL/LUMC,UNL,027bh9e22,https://ror.org/027bh9e22,openorgs____::e42580548da4a1d39bb67b60b971056e,https://explore.openaire.eu/search/organization?organizationId=openorgs____::e42580548da4a1d39bb67b60b971056e,218541.0,45204.0,1.0,1302.0,1236.9230769230771,2538.923076923077,True
Vrije Universiteit (Free University),VU,VU/VUMC,UNL,008xxew50,https://ror.org/008xxew50,openorgs____::1624ff7c01bb641b91f4518539a0c28a,https://explore.openaire.eu/search/organization?organizationId=openorgs____::1624ff7c01bb641b91f4518539a0c28a,258379.0,44407.0,1.0,1302.0,1236.9230769230771,2538.923076923077,True
Radboud University Nijmegen,RU,RU/RadboudUMC,UNL,016xsfp80,https://ror.org/016xsfp80,openorgs____::a3af79fec4d09764e56cd6d4df1d976a,https://explore.openaire.eu/search/organization?organizationId=openorgs____::a3af79fec4d09764e56cd6d4df1d976a,276808.0,44122.0,1.0,1302.0,1236.9230769230771,2538.923076923077,True
Wageningen University & Research,WUR,WUR,UNL,04qw24q55,https://ror.org/04qw24q55,openorgs____::ad8f981707a4a1d6c9e9ee60c02b9a11,https://explore.openaire.eu/search/organization?organizationId=openorgs____::ad8f981707a4a1d6c9e9ee60c02b9a11,285441.0,42749.0,1.0,1302.0,1236.9230769230771,2538.923076923077,True
Delft University of Technology,TUD,TUD,UNL,02e2c7k09,https://ror.org/02e2c7k09,openorgs____::5e6bf8962665cdd040341171e5c631d8,https://explore.openaire.eu/search/organization?organizationId=openorgs____::5e6bf8962665cdd040341171e5c631d8,230097.0,41983.0,1.0,1302.0,1236.9230769230771,2538.923076923077,True
Maastricht University,UNIMAAS,UM/MaastrichtMC,UNL,02jz4aj89,https://ror.org/02jz4aj89,openorgs____::a7e0018f6064f0dab7a8c9a48a61a1c6,https://explore.openaire.eu/search/organization?organizationId=openorgs____::a7e0018f6064f0dab7a8c9a48a61a1c6,161695.0,41652.0,1.0,1302.0,1236.9230769230771,2538.923076923077,True
Erasmus University Rotterdam,EUR,EUR/ErasmusMC,UNL,057w15z03,https://ror.org/057w15z03,openorgs____::2f735203eb40d8389a881e874bee537a,https://explore.openaire.eu/search/organization?organizationId=openorgs____::2f735203eb40d8389a881e874bee537a,246440.0,37316.0,2.0,1302.0,618.4615384615385,1920.4615384615386,False
